id,type,name,priority,summary,when,avoid,slots,exampleIds
access/access-circle-blocks,access,円形ブロックのアクセス,3,情報を矩形ではなく円に流し込む型。左に、直径がセクション高さの60-70%を占める大きな塗り円（濃紺・墨など背景と強コントラストな1色）を置き、その中に英字ラベル → 見出し（◯◯のこと）→ 住所／TEL／営業時間／定休日の行、を左揃えで積む。文字は円の内接矩形（直径の約70%幅）に収め、行末が円の縁に触れないよう左右を大きく空ける。地図リンクは下線付きの小さなテキスト、注記は最下部に11-12pxで2〜3行。右には円形にトリミングした写真を2枚、直径を大小違えて上下にずらして置き、片方は大円と20-40px重ねるか、逆に間を空けて対角のリズムを作る。背景は淡いグレー／オフホワイトのベタ1枚だけにして、他の装飾は一切置かない（円の形だけで画面が持つ）。円は必ず正円を保ち、潰して楕円にしない。セクション全体の上下余白は120px以上取り、円の外側が窮屈にならないようにする。,情報量が中程度（住所＋電話＋時間＋短い注記） / ブランドが柔らかい・手仕事系・自然派 / 使える写真が2枚以上ある,情報が多く円に収まらない（表や6項目以上） / 硬い信頼訴求が必要な業種（円は軽く見える） / 写真が1枚しかない（右側が持たない）,英字ラベル / 見出し / 住所 / 電話番号 / 営業時間 / 定休日 / 地図リンク / 注記 / 円形写真2枚,ogawa_s12
gallery/gallery-scroll-rail,gallery,横スクロール見切れレール,1,写真カードを横一列に並べ、行の左右を画面外へ断ち切って「まだ続く」を見せる帯。カード幅は画面の28〜34%、カード間は16〜24px。停止状態で左端のカードが約1/3、右端が約1/2だけ見えている位置に置くのが肝で、両端が揃って見えたら失敗。カードは全角丸にせず「一部の角だけ大きく丸める」（左上と右下だけ半径40〜50%＝葉型、または上2角だけ）ことで四角の連なり感を消す。見出しは中央に置かず左端で断ち落とし、極太の欧文/和文を1語だけ。見出しの背面だけ地色を一段変えた矩形を敷いて帯の始点にする（黒地に白見出し等、コントラストを強く）。ナビは右上に丸ボタン2つ（直径44px、細い白フチ、前後）。各カードの直下に小ラベル（VIEW MORE／キャプション）を左揃えで全カード同位置に揃え、ここが揃うことでバラバラの写真が一列に見える。セクション上下の余白は狭く40〜56pxに抑え、面ではなく帯として読ませる。,写真点数が多く縦に伸ばしたくない / 各写真に遷移先やカテゴリがある / セクションを帯として軽く挟みたい,全点を一望させたい / 写真が4枚以下 / 縦長の写真しかない,見出し / 写真1〜N（推奨6枚以上） / 各カードのラベル / 各カードの遷移先 / 前後ボタン,odrive_s11 r-reha_s07
gallery/gallery-arch-clip-cutout,gallery,アーチ／楕円クリップ＋切り抜きはみ出し,1,主写真を1枚だけ楕円（またはアーチ＝上辺だけ半円）にクリップして主役化し、その輪郭を人物の切り抜きが跨いで奥行きを作る型。白または淡い無地の上に、幅は画面の60〜70%・高さは幅の0.6倍前後の楕円を中央に置く。見出しは楕円に被せず左端に縦組みで2〜3行、その左脇に極小・トラッキング広めの欧文縦ラベルを添えて余白の柱にする。人物の切り抜きPNGを3〜4体、楕円の左下・右下・上辺に配置し、体の1/3が楕円の内側・2/3が地の上に出る比率で跨がせる（完全に外に出すと単なる添え物になる）。切り抜きに影は付けず、地の白に直に置く。楕円の上下は80〜120pxの大きな余白を取り、罫線を引かず地色の切替だけで次セクションと分ける。スライダーにする場合は下端中央にドット4〜5個（8px、現在位置のみ濃色）だけを置き、矢印は出さない。,写真1枚に主役性を持たせたい / 人物・表情を主役にしたい / 四角い写真の硬さを避けたい,写真を一覧として見せたい / 被写体が引きの風景で切り抜けない / 写真の解像度が低い,主写真1枚 / 切り抜き人物3〜4体 / 縦組み見出し / 欧文縦ラベル / スライダードット,meisei-es_s07
gallery/gallery-scatter-collage,gallery,散らしコラージュ（額装写真＋図形の重なり）,1,額装した写真を1枚ずつ角度を変えて面に散らし、図形を潜らせて奥行きと重心を作る型。地は写真の白フチが効く淡い1色（生成り・オフホワイト）。写真は8〜14枚、各々にマット枠（写真の外側に太さ8〜12pxの厚みのある枠＋内側に細い線）を付け、-8°〜+8°でランダムに回転。サイズは大=幅18%／中=12%／小=8%の3段階だけに絞り、大→中→小が対角に流れるよう配置する。等間隔にしないことが要点で、隣接写真の間隔は24px〜160pxまでばらつかせ、重なりも数カ所だけ作る。写真の下に濃色（黒・ブランド濃色）の正円を3〜5個潜らせ、半分だけ写真の陰から覗かせて画面の重心にする。中央の1枚だけアーチ型にクリップして一回り大きくし、その上に装飾セリフの英字ロゴを大きく重ねる（写真とロゴが重なることを恐れない）。円周に沿って回した極小テキストや、2行8pxの小キャプションを数カ所だけ添えて密度差を作る。上下は同じ地色のまま次セクションへ渡し、罫線で区切らない。,ブランドの世界観・空気を伝えたい / 写真が10枚以上ある / 順序や比較を伝える必要がない,整然と揃えて見せたい / 全写真にキャプションや導線が必要 / 写真が5枚以下 / 写真のトーンがバラバラ,写真8〜14枚 / 装飾ロゴ／英字見出し / 小キャプション数点 / 円形の図形3〜5個 / 円周テキスト,yugao_s06 sho_peppy_s10
gallery/gallery-color-tile-mosaic,gallery,色面オーバーレイの不揃いタイル,2,隙間ゼロのタイルを1つの塊にし、各タイルに別々のブランドカラーを半透明でかぶせて「写真の集合」ではなく「色面の集合」として見せる型。構成は非対称グリッド（左半分に大タイル1枚＝高さ2段分、右半分を2×2の小タイル4枚）か、3列のマソンリー（列ごとに高さが不揃い）。塊は左右とも画面幅いっぱいに断ち切る。各タイルに55〜70%の不透明度でベタ色を全面オーバーレイし、色は隣り合うタイルで色相を離す（青／紫／緑／桃／橙のように）。ラベルは各タイル中央に白文字で見出し＋1行の説明、大タイルだけ左寄せにして主従を付ける。見出しをセクションに置く場合は塊の上に離して置かず、塊の上端に半分食い込ませて重ねる（見出しの上半分が地、下半分がタイルの上）と一段奥行きが出る。吹き出し型の小ラベルを見出しの脇に浮かせて温度を足してもよい。タイル間に線も余白も入れないこと。,写真の色味がバラバラでも1つの面として統一したい / 各タイルがカテゴリ導線になっている / ブランドカラーが複数ある,写真そのものの美しさを見せたい / 色を持たないブランド / タイルが3枚以下,セクション見出し / タイル5〜9枚（写真＋色） / 各タイルの見出し / 各タイルの補足1行 / 吹き出し小ラベル,kobe-wu_s06 nakamura_s14
gallery/gallery-full-bleed-band,gallery,敷き詰めバンド（傾け／段差で格子を消す）,2,写真間の隙間ゼロ・左右とも画面外へ断ち切った帯で空気感を面として見せる型。1行または2行。格子に見えないよう崩しを必ず入れる。崩しは二択で、(a) 各写真を-3°〜+3°で互い違いに回転し、上段は中央が高い弧を描くよう並べる（両端の写真だけ数度余分に傾ける）、(b) 回転させず1枚ごとに天地位置を24〜64pxずらして波打たせる。写真は縦長2:3を基本に、1枚の幅は画面の14〜20%（=1行5〜7枚）。帯の上辺・下辺を直線で切らないことが要点で、淡い色面を大きな円弧（上に凸のアーチ）で被せて境界とし、見出しを置くならその色面の中央に細めのセリフ・トラッキング広めで置く。帯の中央下に円形のボタン（PAGE TOP／もっと見る、直径56〜64px）を帯へ半分食い込ませて重ね、帯とボタンの前後関係で厚みを出す。,場の空気を面で見せたい / 写真が8枚以上ある / 前後セクションの切れ目を柔らかくしたい,1枚ずつ丁寧に見せたい / 写真の質・トーンがばらついている / 各写真に説明が必要,写真6〜12枚 / アーチ色面 / セクション見出し（任意） / 円形ボタン,meisei-es_s15 meisei-kg_s14 koran_s09 koran_s10
gallery/gallery-offset-pair,gallery,段差オフセット（大判2〜6枚を互い違い）,2,少ない枚数を大きく見せつつ整列を避ける型。2列構成で、左列と右列の写真を写真高さの25〜40%ぶん上下にずらして互い違いに置く。写真ごとにサイズと縦横比を変える（大=幅38%の縦長／中=幅30%の横長／小=幅22%）ことで、ずらしが偶然に見える。列の中心線は画面中央からわずかに外し、片側（右列）だけ画面端まで届かせて断ち切ると重さが抜ける。キャプションは写真の外に出さず、写真内の左下に白抜きで置き、下端に薄い黒グラデを敷いて可読性を確保する。遷移先がある場合は丸い矢印ボタン（直径40〜48px、細い白フチ・半透明）を写真の右下の角に半分重ねる。地は淡いグレーまたはブランドの薄色ベタで、写真が浮いて見えるようにする。セクション上下の余白は写真1枚分の1/3以上。,写真が2〜6枚しかないが1枚ずつ持たせたい / 各写真にキャプションや遷移先がある / 落ち着いた印象で崩したい,写真が8枚以上ある / 整然とした一覧が必要 / 写真がすべて同じ縦横比で変えられない,写真2〜6枚 / 各写真のキャプション / 矢印ボタン（任意） / セクション見出し（任意・左上）,nakamura_s10 kobe-wu_s08
gallery/gallery-fullscreen-copy-overlay,gallery,全面写真＋コピー重ね（休符スライダー）,3,セクション全体を写真1枚で満たし、最小限の文字とUIだけを重ねてページの休符にする型。高さは70〜100vh、上下左右フルブリード。写真は暗いものを選ぶか黒20〜35%を全面に重ねて沈め、被写体のディテールは読ませない。文字は中央よりやや上（上から15〜25%）に、細いセリフの白文字で英字の大見出し1行＋その下に極小・トラッキング広めの欧文サブ1行のみ。説明文・ボタンは置かない（置いた瞬間ヒーローの劣化版になる）。スライダーであることは最小UIでだけ示す：下端中央にドット4〜6個（現在位置のみ白）、左右端の中央に細い山形の矢印（丸ボタンにしない）。下端の処理は2択で、(a) そのまま次セクションへ断ち切る、(b) ブランド色のベタ帯（高さ24〜64px）で写真の下端を水平に切って次セクションへ接続する。,世界観の切り替え地点・休符が欲しい / 写真の質が高く暗いトーンが使える / 情報ではなく雰囲気を渡したい,写真が明るく白文字が乗らない / この場所で情報や導線を伝える必要がある / 同ページのヒーローが同型,全面写真1〜6枚（スライド） / 英字大見出し / 欧文サブ1行 / ドット / 下端の色帯（任意）,yugao_s07 gakugei_s04
member/member-feature-overlap-card,member,1人フィーチャー：記事カードを写真に重ねる,1,濃色（黒〜濃紺）ベタの全幅セクション。左上に極大の欧文ラベル（TEACHER / STAFF、80〜120px、太いサンセリフ、白）を置き、その右横・文字の中央高さに小さな「VIEW MORE」を並べる。背景には同じ語をさらに巨大に（300px超、セクションから上下がはみ出す大きさ）、地色より5〜8%だけ明るい同系色で敷いて裏文字にする（opacityでなく色差で作る＝必ず写真より後ろ）。右側は幅50〜58%・セクション天地いっぱいの人物写真で、写真の左端は中央よりやや右。白い記事カード（幅38〜42%、角丸0〜4px、影なし）を左から差し込み、写真の左端にカード幅の25〜35%だけ重ねる。カードの天地は写真の内側に収める（上下とも写真の端より40px以上内側）＝写真がカードを上下から挟むこの“余り”がZ方向の階層を作る。カード内は上から (1) アクセント色の小さな矩形ラベル「INTERVIEW」＋日付（10px・グレー）を横並び (2) 見出し3行（22〜28px・太字・行送り1.5、句読点位置で改行を制御） (3) 24pxの空き (4) 所属（10px・グレー）＋氏名（18px・太字）を横並び (5) 最下部にハッシュタグを折り返さず1行でグレー小文字。セクションの左右パディングは大見出しの左端＝カードの左端で揃え、大見出しの下端とカード上端の間は40〜56px。,看板になる人物が1人（塾長・代表・エース講師） / インタビュー記事や個別ページへ送客したい / 濃色でセクションを締めてリズムを変えたい,紹介したい人が3人以上いる / 寄りの人物写真がなく集合写真しかない / 全体が明るいパステル基調で濃色ベタが浮く,セクション英字ラベル / 補助リンク（VIEW MORE） / 人物写真 / 記事ラベル（INTERVIEW等） / 日付 / 見出し（3行） / 所属 / 氏名 / ハッシュタグ,odrive_s05
member/member-interview-card-grid,member,記事カード一覧（写真＋黒ネームプレート）,1,濃色ベタ背景に白カードを3列（PC）等幅で並べる。gap 24〜32px、カードは角丸0〜4px・影なしで、背景とのコントラストだけで面を立てる。カード上部は縦長ポートレート（3:4、カード幅いっぱい、object-position:top で顔を上寄せ）。写真の左下に2段のネームプレートを重ねる：上段は所属（10px・白・囲みなしで写真に直置き）、下段は氏名（16〜18px・太字・白）を黒ベタの矩形で囲む。インセットは左12〜16px・写真下端から12〜16px。写真の下はカード内パディング16〜20pxで (1) 日付（10px・グレー） (2) 見出し（16〜18px・太字・行送り1.6、-webkit-line-clamp:3で「…」に切る＝切れていること自体が“続きがある”合図） (3) margin-top:auto でカード下端に寄せたハッシュタグ1行（10〜11px・グレー・overflow hidden で折り返さない）。全カードを同じ高さにし、ハッシュタグの行位置を横で揃える。背景にはセクション幅を超える巨大な欧文（地色＋5%）を敷き、カード列の背後から覗かせる。カード全面をリンクにし、hoverで写真だけ1.03倍。,3〜9人を「記事」として見せる / 各人に語らせる一言（インタビュー見出し）がある / 一覧ページや個別記事への導線がある,各人の情報が肩書だけで見出しが作れない / 縦長の人物写真が用意できない,セクション見出し / 背景の裏文字（欧文） / 人物写真（縦長） / 所属 / 氏名 / 日付 / 見出し（記事タイトル） / ハッシュタグ,odrive_s06
member/member-intro-photo-cluster,member,役割紹介：左テキスト×右の写真クラスター（パネルからはみ出す）,1,個人の一覧ではなく「どういう人たちが関わるか」を1ブロックで説明する型。左40〜45%がテキスト、右50〜55%が写真。左は上から細い横罫（アクセント色・幅40px・太さ2px）→見出し（24〜32px、字間0.08em）→本文（14〜15px、行送り2.0、6〜8行、折り返し幅は32em以内に固定）→任意でCTAピル（角丸999、枠線1px、幅220〜280px、本文から48px下）。右の写真は角丸24〜32pxの矩形にクリップし、1〜3枚をサイズ違い×上下オフセット違いで互い違いに配置（例：大→小→中、隣り合う写真を8〜16%だけ重ね、上下は写真高の15〜25%ずらす）。影は使わず余白だけで浮かせる。背景は2択：(a) 淡いベージュ等のベタ面に直接浮かせる、(b) 色ベタ面の上に白い角丸パネル（角丸32〜48px、左右をセクション端から40〜80px内側）を敷き、写真をパネルの右端・上端の外へ意図的にはみ出させる。(b)ではこの“パネルからのはみ出し”が型の要で、写真は必ずパネルより手前のz-indexに置く。写真が1枚のときは角丸ピル（色ベタ＋白文字10〜12px）を写真の右下に重ねて誰かを示す。手描きイラストを足す場合は写真クラスターの外側・セクション下端の余白に1体だけ置き、セクション境界をまたがせる。セクション上下パディングは100〜140px。,スタッフを個別に立てず「チーム/役割」として紹介したい / 使える写真が2〜3枚しかない / この後のCTAへ繋ぐ説明ブロックが要る,5人以上を平等に見せたい / 個々の氏名・肩書・経歴を読ませたい,見出し / 本文（説明） / 写真1〜3枚 / 名前/肩書ピル（任意） / CTAピル（任意） / 装飾イラスト（任意）,buddies_s05 yamanomi_s07
member/member-shape-row-on-edge,member,シェイプ抜きポートレートの横一列（色面の境界をまたぐ）,2,3〜4人を等間隔で横一列に並べ、写真をシェイプでクリップする型。シェイプは (a) アーチ（上だけ大きく丸い＝border-radius: 50% 50% 24px 24px 相当）または (b) 正円。写真幅はコンテナの20〜24%、gapは写真幅の12〜18%、object-positionを上寄せにして4人分の顔の高さを揃える。ラベルは2方式のどちらか：(a) 職種名を角丸999のピル（色ベタ・11px）にして写真の下端に半分かけて重ね、氏名は写真の直下センター、(b) 一言の特徴を“枠線だけの吹き出しピル”（塗りなし・1px・11px）にして各人の頭上に置き、左右で高さを1段ずつ互い違いにする。背景はセクションを上下2色に割り（上=白、下=淡色ベタで下端に大きな角丸）、写真の列をその境界にまたがせる。さらに色面の左右いずれかの端を写真列の途中で終わらせ、端の1枚だけが色面から白地へはみ出すようにする（列全体を色面より少し長くする）。この“境界をまたぐ”処理が核で、ただの円形の並びとの差になる。見出しは (a) 左端に縦組み（writing-mode: vertical-rl、24〜32px、行間広め）で写真列の高さいっぱいを使うか、(b) 中央寄せの見出しの背後に極薄グレー（地色比3〜5%）の巨大欧文を透かしとして重ねる。列の下または左下に「一覧を見る」の丸囲み矢印リンクを添える。,4人前後を軽く見せる（個別記事には送らない） / 顔と肩書だけで十分 / 余白の多い淡色トーンのLP,1人あたりの情報量が多く見出し文が必要 / 6人を超える / 写真の背景色や寄りがバラバラで揃わない,見出し（縦組み or 中央） / 小見出し（STAFF等の英字） / 人物写真3〜4 / 職種/肩書ラベル / 氏名 / 一言タグ（吹き出し・任意） / 一覧リンク,linie_s11 sho_globalcrown_s04
member/member-cutout-scroll-cards,member,切り抜き人物×グラデ円の横スクロールカード（端で見切れ）,2,背景を切り抜いた人物を、パステルのグラデーション円／ブロブの上に重ねてカード化し、横スクロールで並べる型。カード幅はビューポートの22〜26%（PCで4枚強が見える）。カード上半分は正方形に近い比率のビジュアル枠で、背景に2色のグラデ円（カードごとに色相を変える）、その上に人物を下端で切れるように置き、小物や手など一部はグラデ円の外へはみ出させる。ビジュアル枠自体には角丸を付けず、グラデ円の丸さだけで柔らかさを作る。下半分は左揃えで (1) 引用調の見出し2〜3行（15〜17px・太字・カードごとに変えるアクセント文字色） (2) 8pxの空き (3) 所属部署（11px・黒） (4) イニシャル＋入社年（11px・グレー）。決定的なのは“両端で必ずカードを見切れさせる”こと：トラックの左右パディングを0にし、最初と最後のカードを画面端で断ち切って続きがあることを見せる。スクロールバーは隠し、scroll-snap-type:x mandatory ＋ カードに scroll-snap-align:start。矢印ボタンは置かず、見切れとドラッグだけで示唆する。,6人以上を平等に見せたい（順位を付けない） / 明るくポップなトーン / 切り抜き加工に耐える人物素材がある,切り抜けない写真しかない（矩形のまま置くと途端に安くなる） / 落ち着いた高級トーン / PCで全員を一望させたい,セクション英字ラベル / セクション見出し / 切り抜き人物写真（6枚以上） / グラデ円の配色 / 引用見出し / 所属部署 / イニシャル＋入社年,sanrio_s06
member/member-video-tile-row,member,講師動画タイル4枚＋マーキー帯,3,濃い有彩色（紫・紺など）のベタ面に動画サムネのタイルを4枚等間隔で並べる型。セクション上端に幅いっぱいのマーキー帯（高さ32〜40px、補色寄りの明るい蛍光色、11〜13px太字の文言＋区切り記号を無限ループで横流し）を貼り、セクションの入口を作る。中央に見出し（28〜36px・白）＋リード文2〜3行（13px・白70%・中央寄せ・幅32em以内）。その下にタイル4枚を横一列（各幅20〜22%、gap 3〜4%、比率3:4の縦長、角丸16〜24px）。各タイル中央に半透明白の丸い再生ボタン（径44〜56px、内側に三角）を重ねる。サムネは人物を中央に寄せ、背景色をタイルごとに変えてリズムを作る（服の色差で作るのが手早い）。手描き風のあしらい（リボン・キラキラ）を1〜2個だけタイル列の外側の余白に置いて緊張をほどく。タイル列の左右にはコンテナ端まで各6〜8%の余白。クリックでモーダル再生。,講師の自己紹介動画がある / 話し方や人柄を動きで見せたい / ネイティブ講師など見た目の多様性が売りになる,動画がないのに再生ボタンだけ乗せる（誤クリックで信頼を失う） / 落ち着いた/静かなトーンのLP,マーキー文言 / 見出し / リード文 / 動画サムネ4枚 / 動画URL / 装飾あしらい（任意）,sho_novakid_s12
message/message-portrait-longform,message,ポートレート＋長文あいさつ（境界を溶かす／裁ち落とす）,1,代表・園長あいさつの本命型。左35〜40%に人物ポートレート、右55〜60%に長文、間に5〜8%のガター。写真は「四角い箱として置かない」ことが肝で、境界処理を2択で持つ。(A)にじみ抜き＝写真の下地に水彩・和紙のにじみを敷き、人物の輪郭以外を背景色へマスクでフェードさせて枠を消す(ikeda)。(B)裁ち落とし＝写真をセクション上端まで（左端も）ブリードさせ、地面のない縦長の柱にする(musashino)。氏名署名は写真の下端寄せで「法人名／役職／氏名（大）／ローマ字（小・字間広め）」の4段、氏名だけ本文見出しと同等サイズまで上げる。右カラムは冒頭2〜3行だけを本文より1.4倍の大きさ・行間1.9で見出し扱いにし、以降の本文は行間1.9〜2.0・1行あたり28〜34字で流す。本文は写真の下端より下まで続いてよく、むしろ長さが揃わない方が手紙らしくなる。本文の下敷きは「背景そのまま」か「わずかに傾けた（1〜2deg）色ベタ面を敷いてその上に水平のテキストを置く」の2択で、後者は格式が出る代わりに上下に色面のはみ出し分の余白が要る。セクション上下は120〜160pxの余白で他と切る。,理事長・園長・院長など個人の署名入りメッセージがある / 本文が300字を超えて写真だけでは間が持たない / 人物写真が1枚しかない,本文が3行以下（余白型か色面型を使う） / 人物写真が寄りでなく引き・集合写真しかない / 登場人物が複数いる（横スクロール型へ）,セクション名（英字＋和文） / 導入コピー（2〜3行） / 本文（長文・400〜700字） / 人物写真 / 法人名／役職 / 氏名 / 氏名ローマ字 / 続きを読むボタン（任意）,ikeda_s08 musashino_s05
message/message-vertical-label-split,message,縦組みラベル＋左コピー右写真（イラストはみ出し）,1,白背景・高余白の上品な型。画面左端から4〜6%の位置に、セクション名を英字大文字・縦組み（writing-mode: vertical-rl／字間0.3em・小サイズ・淡いグレー）で立て、その右にコンテンツを2カラムで置く。左カラム(45%)＝見出し2行＋本文2〜3行＋角丸ピル型ボタン、右カラム(50%)＝角丸16〜24pxの写真。見出しは1行ずつ独立したブロックとして行間を大きく空け（1.9〜2.2）、標語として読ませる。この型の決め手は手描きイラストを写真の四辺にまたがせて枠外へはみ出させること。3〜4点を写真の左上・右上・右下など非対称に散らし、必ず1点は写真より外側（セクション余白の中）に置いて、写真の矩形を壊す。写真の下端には小さくクレジット（©︎）を白文字で乗せてもよい。縦ラベルはセクションの縦中央付近で position: sticky にして、スクロール中も左端に残す。セクション上下の余白は120px以上、左右も広く取って全体を中央60〜70%に収める。,白基調で軽さ・信頼感を出したい / 本文が短く、写真1枚で世界観を語れる / ブランドにイラストや手描き素材の資産がある,本文が長い（読み口が窮屈になる） / イラスト素材がない（写真だけだと素朴な2カラムに落ちる） / 背景を色ベタにしたい場合,セクション名（英字・縦組み） / 見出し（2行） / 本文（2〜3行） / メイン写真 / 装飾イラスト×3〜4 / 詳細ボタン,shoei_s04
message/message-duotone-photo-panel,message,デュオトーン写真ベタ面＋白抜き2カラム,1,写真を背景に「敷く」のではなく、ブランド1色でデュオトーン化してセクション全面を1つの色面に変える型。人物写真を左1/3に主体が来るようクロップし、ブランドカラーの単色デュオトーン＋暗部を落として、その上に全テキストを白で置く。上に載せるのは2カラムで、左25〜30%＝セクション名（小・太字・字間広め、1行だけ）、右55〜60%＝小見出し1行＋本文（10〜14行）＋全幅の塗りボタン。左カラムの上端は右カラム本文の1行目と揃える（ラベルが見出しの高さに浮くのがポイント）。写真の顔が右カラムの文字にかからないよう、写真の焦点は必ず左1/3内に置く。パネルの下端（左右の角）だけ40〜64pxの大きな角丸にして、次に来る濃色セクションから物理的に切り離す。上端は角丸にせず前セクションと接続させる非対称処理が効く。本文は白100%だと眩しいので白92%程度、ボタンだけ不透明のブランド色ベタ。,ブランドカラーが強く、色で場面転換を作りたい / 写真の質が高くないが構図の主体がはっきりしている / 次セクションが濃色で、切れ目を作る必要がある,写真に文字や細かいディテールが写り込んでいる / ブランドカラーが淡すぎて白文字が読めない / 署名・氏名を大きく見せたい（ポートレート型へ）,セクション名 / 小見出し（1行） / 本文（200〜350字） / 背景写真（人物） / 続きを読むボタン,buddies_s10
message/message-color-field-poem,message,色ベタ一面＋中央1列の詩型（切り抜き人物を左右端に）,2,文章を「読ませる」のではなく「1行ずつ立てて聴かせる」型。セクション全面を深い1色（エンジ・濃紺など）で塗り、中央に幅40〜50%の1列だけを置く。列の中身は上から、線画アイコン（建物・シンボルを白1pxの線画で）→和文タイトル→英字サブ（小・字間広め）→本文。本文は1〜3行ずつの短いブロックに割り、ブロックとブロックの間をドットリーダー（点線を等間隔の丸で描いた区切り）で仕切り、上下に80〜100pxずつ空ける。文字は左揃えだが列自体は中央寄せなので、視覚的には中央の柱になる。左右の余白は空けたままにせず、切り抜き人物写真（背景を完全に抜いた子ども・生徒など）を左端・右端の余白に3〜5体、高さをバラバラに配置して柱を挟み込む。加えて線画の落書きアイコン（葉・魚・音符など）を淡い色で全体に散らす。締めは本文より2〜3倍大きい極太の一言を中央に置き、その左右に落書きアイコンを1つずつ添える。,理念・想いを短い言葉の連なりで語りたい / 本文が箇条にできない情緒的な内容 / 写真が切り抜きに耐える（背景が抜ける）素材である,説明的な長文しかない（ポートレート型へ） / ブランドカラーが淡く白文字が乗らない / 切り抜き素材もイラスト素材もない（ただの中央揃えテキストに落ちる）,シンボル線画アイコン / タイトル（和文） / サブタイトル（英字） / 本文ブロック×3〜5（各1〜3行） / 切り抜き人物写真×3〜5 / 落書きアイコン×5〜8 / 締めの一言（極太）,meisei-kg_s02 meisei-kg_s03
message/message-scroll-voices,message,横スクロールの声カード列（右端で見切らせる）,2,メッセージの発信者が複数いるときの型。左に極太の英字見出し（画面幅の30〜40%を占める大きさ、字間を詰め気味に）を置き、その右端に小さな丸の前後ボタン2つを見出しのベースラインに揃えて配置する。その下に等幅カードを横一列に並べ、コンテナを画面右端まで（右余白を無視して）伸ばし、3枚目・4枚目を意図的に見切らせてスクロールできることを示す。カードは幅280〜320px、内容は上から16:11の写真→写真の左下に重ねた黒ベタの肩書バッジ（2段：所属・役職／氏名）→カード下部に日付（小・グレー）→2行見出し（太字・2行で省略）→聞き手などのメタ情報（極小・グレー）。カード間は16〜24px。カード自体には枠線も影も付けず、写真とテキストの塊として見せる。スナップは有効にしてカード左端で止める。見出しの左端とカード列の左端は必ず揃える。,卒業生・保護者・スタッフなど複数人のメッセージがある / 各メッセージが個別ページへ遷移する / 縦に積むと6枚以上で間延びする,メッセージが3件以下（横並びグリッドで足りる） / 写真の人物が揃っていない（1人だけ写真なしは崩れる） / 本文をその場で全文読ませたい,セクション見出し（英字・極太） / 前後ボタン / カード×4〜8（写真／肩書バッジ／氏名／日付／見出し2行／メタ）,odrive_s08
message/message-curve-boundary-circles,message,カーブ境界＋円形写真がまたぐ型,3,セクションの切り替えそのものを絵にする型。セクション上端を水平線ではなく、ゆるい円弧（画面幅に対して高さ60〜120px程度の浅いカーブ、SVGかborder-radiusの巨大値で作る）で前セクションの白から淡い色（ピンク・ベージュ等）へ切り替える。そのカーブの線をまたぐ位置に、円形にクリップした写真を2枚、大小を変えて右上へオフセット配置する（大＝直径220〜280px、小＝直径140〜180px、上下にずらして重ならないよう配置）。円の一部が白側に、一部が色側に入るのが必須で、これで境界がただの装飾線でなく「面の重なり」として読める。本文は左下、幅40〜45%で円形写真とは水平方向に重ならない位置に置き、行間1.9で流す。本文の上には見出しを置かず、いきなり文章から入ることで手紙のような温度を出す（見出しが要る場合は本文の上に小さく1行だけ）。セクション下端はカーブさせず、水平で切って次へ渡す（上だけ曲げる非対称が効く）。,前セクションが白で、色面へ柔らかく移行したい / スナップ写真が2枚あり、どちらも主役にならない / 本文が中程度の長さで、余白に絵が要る,写真が縦長の人物寄りしかない（円形クリップで顔が切れる） / 前後のセクションもカーブを使っている（曲線が続くと甘くなる） / 硬派・格式のトーンを出したい,カーブ境界の色 / 円形写真×2（大・小） / 本文（150〜300字） / 小見出し（任意・1行）,gakugei_s09
nav/nav-header-2tier-sticky,nav,2段固定ヘッダー（対象別＋アクセントCTA）,1,"画面上端に貼りつく2段構成のヘッダー。上段（高さ48〜56px）は左にロゴ（高さ28〜32px、左余白は本文グリッドの左端に揃える）、右に「対象別」の入口リンクを最大3つ、1pxの縦罫（文字色の20%濃度）で区切って横並び。文字は12〜13px、必要なら16pxの小アイコンを文字の左に置く。下段（高さ56〜64px）は左にグローバルナビ（14〜15px、項目間32px）、右端に主CTAを角丸ピル（高さ40〜44px、左右padding 24px、内側に右向き矢印を文字から8px空けて内包）で置く。彩度の高いアクセント色はこのCTA1個だけに使い、他の文字は無彩色寄りに落とす。2段の切り分けは「上段=白／下段=薄グレー」のような塗り分けか、1pxの区切り線か、どちらか一方だけにする（両方やると帯が重くなる）。ヘッダー下端に影は常設せず、スクロールが始まった瞬間だけ 0 4px 12px rgba(0,0,0,.06) をフェードインさせる。スクロール200px超で上段を高さ0へ潰し下段だけ残す（合計56px）。CTAは潰さずそのまま残す。",ページが長く、どこからでもCTAに戻れる必要がある / 対象読者が複数いて、入口で分岐させたい（子ども／大人、個人／法人など） / 運営元・ブランドの信頼を上端で見せたい,1画面完結の短いLP（上端を56pxも占有する価値がない） / CTAが1つしかなく、ヒーロー内のボタンで足りる場合 / 上段に入れるリンクが2つ未満のとき（1段ヘッダーにする）,ロゴ / 対象別リンク（最大3） / グローバルナビ項目（4〜6） / 主CTA（テキスト＋矢印） / 副CTA／電話番号,sho_shane_s01 sho_novakid_s01
